Track Name,Artist Name,Album,Year,Popularity
Puede Ser (with Amaia Montero),El Canto Del Loco,A Contracorriente,2002,65
Contigo,Joaquín Sabina,"Yo, Mi, Me, Contigo",1996,65
Baloncito Viejo,Carlos Vives,Baloncito Viejo,2022,64
Quiero tener tu presencia,Seguridad Social,Furia Latina,1993,64
Mi Persona Favorita,Alejandro Sanz,Mi Persona Favorita,2019,64
Déjame,Los Secretos,Los Secretos,1981,64
Con sólo una sonrisa,Melendi,Que El Cielo Espere Sentao..,2005,64
Ella,Bebe,Pafuera Telarañas,2004,64
A Contracorriente,Alvaro Soler,A Contracorriente,2022,64
Música Ligera,Ana Mena,Música Ligera,2021,64
Aunque No Sea Conmigo,Aitana,Aunque No Sea Conmigo,2021,63
Solo Si Es Contigo,Bombai,Solo Si Es Contigo,2017,63
Un Velero Llamado Libertad,Carlos Rivera,Un Velero Llamado Libertad,2021,63
Convénceme,India Martinez,Convénceme,2020,63
Ahora Que Puedo (from the Prime Video Original Movie CULPA MIA),Eva Ruiz,Ahora Que Puedo (from the Prime Video Original Movie CULPA MIA),2023,63
El día menos pensado,Beret,El día menos pensado,2022,63
Cien gaviotas,Duncan Dhu,Canciones,1986,63
Como un lobo (Dueto 2007),Miguel Bosé,Papito (Deluxe),2007,63
Llueve sobre mojado,Pablo Alborán,Llueve sobre mojado,2021,62
Insoportable,El Canto Del Loco,Estados de Animo,2003,62
Llamando a la tierra - Serenade From the Stars,M-Clan,Usar Y Tirar,1999,62
Bailemos,Dani Fernández,Incendios,2019,62
La Boca Junta,Melendi,La Boca Junta,2021,62
Quasi,Pablo López,Quasi,2022,62
Ahora Te Puedes Marchar,Abraham Mateo,Ahora Te Puedes Marchar,2022,62
A San Fernando un Ratito a Pie y Otro Caminando,Manolo Garcia,Arena En Los Bolsillos,1998,62
MENEITO,Nil Moliner,MEZCALITO,2023,61
No me importa nada,Luz Casal,Luz V,1989,61
Acabo de llegar,Fito y Fitipaldis,Por la boca vive el pez,2006,61
Entre Sobras Y Sobras Me Faltas,Antonio Orozco,Entre Sobras Y Sobras Me Faltas,2022,61
vampire,Olivia Rodrigo,vampire,2023,92
Cruel Summer,Taylor Swift,Lover,2019,98
Flowers,Miley Cyrus,Flowers,2023,97
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",Metro Boomin,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),2023,94
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Weeknd,Popular (Music from the HBO Original Series),2023,82
Kill Bill,SZA,SOS,2022,95
WHERE SHE GOES,Bad Bunny,WHERE SHE GOES,2023,99
Dance The Night (From Barbie The Album),Dua Lipa,Dance The Night (From Barbie The Album),2023,94
Attention,Doja Cat,Attention,2023,89
Calm Down (with Selena Gomez),Rema,Calm Down (with Selena Gomez),2022,95
As It Was,Harry Styles,As It Was,2022,93
Barbie World (with Aqua) [From Barbie The Album],Nicki Minaj,Barbie World (with Aqua) [From Barbie The Album],2023,88
Cupid - Twin Ver.,FIFTY FIFTY,The Beginning: Cupid,2023,99
Die For You - Remix,The Weeknd,Die For You (Remix),2023,92
All My Life (feat. J. Cole),Lil Durk,All My Life (feat. J. Cole),2023,92
People,Libianca,People,2022,94
MOJABI GHOST,Tainy,DATA,2023,86
Baby Don't Hurt Me,David Guetta,Baby Don't Hurt Me,2023,94
Chemical,Post Malone,Chemical,2023,91
Karma,Taylor Swift,Midnights,2022,91
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",Bizarrap,"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",2023,92
Boy's a Liar Pt. 2,PinkPantheress,Boy's a liar Pt. 2,2023,95
Area Codes,Kaliii,Area Codes,2023,91
Daylight,David Kushner,Daylight,2023,98
Creepin' (with The Weeknd & 21 Savage),Metro Boomin,HEROES & VILLAINS,2022,96
Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez,Until I Found You (Em Beihold Version),2022,94
Ella Baila Sola,Eslabon Armado,Ella Baila Sola,2023,98
Eyes Closed,Ed Sheeran,Eyes Closed,2023,89
golden hour,JVKE,this is what ____ feels like (Vol. 1-4),2022,91
Snooze,SZA,SOS,2022,93
I Ain't Worried,OneRepublic,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",2022,95
Moonlight,Kali Uchis,Moonlight,2023,90
fukumean,Gunna,a Gift & a Curse,2023,90
Mona Lisa (Spider-Man: Across the Spider-Verse),Dominic Fike,Mona Lisa (Spider-Man: Across the Spider-Verse),2023,89
Fast Car,Luke Combs,Gettin' Old,2023,92
Say Yes To Heaven,Lana Del Rey,Say Yes To Heaven,2023,93
I'm Good (Blue),David Guetta,I'm Good (Blue),2022,95
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",Metro Boomin,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),2023,93
LADY GAGA,Peso Pluma,GÉNESIS,2023,83
What It Is (Solo Version),Doechii,What It Is (Versions),2023,90
Here With Me,d4vd,Petals to Thorns,2023,92
CUFF IT,Beyoncé,RENAISSANCE,2022,91
Nonsense,Sabrina Carpenter,emails i can't send,2022,91
(It Goes Like) Nanana - Edit,Peggy Gou,(It Goes Like) Nanana [Edit],2023,88
Last Night,Morgan Wallen,3 Songs At A Time Sampler,2023,91
Miracle (with Ellie Goulding),Calvin Harris,Miracle (with Ellie Goulding),2023,93
Unholy (feat. Kim Petras),Sam Smith,Unholy (feat. Kim Petras),2022,91
Sprinter,Dave,Sprinter,2023,96
Take Two,BTS,Take Two,2023,96
Oh U Went (feat. Drake),Young Thug,BUSINESS IS BUSINESS,2023,84
La Bebe - Remix,Yng Lvcas,La Bebe (Remix),2023,100
WHERE SHE GOES,Bad Bunny,WHERE SHE GOES,2023,99
Mon Amour - Remix,zzoilo,Mon Amour (Remix),2021,83
Tacones Rojos,Sebastian Yatra,Tacones Rojos,2021,79
Cupid - Twin Ver.,FIFTY FIFTY,The Beginning: Cupid,2023,99
Juramento eterno de sal,Álvaro De Luna,Juramento eterno de sal,2020,66
Ella Baila Sola,Eslabon Armado,Ella Baila Sola,2023,98
BESO,ROSALÍA,RR,2023,96
"Peso Pluma: Bzrp Music Sessions, Vol. 55",Bizarrap,"Peso Pluma: Bzrp Music Sessions, Vol. 55",2023,98
Flowers,Miley Cyrus,Flowers,2023,97
La Bachata,Manuel Turizo,La Bachata,2022,90
Clavaito,Chanel,Clavaito,2023,85
TUYA,ROSALÍA,TUYA,2023,87
LAS BABYS,Aitana,LAS BABYS,2023,82
